date,date_id,wind,desc,temp,baro,hum
"Monday, January 18, 2021, 6:00 pm — 12:00 am",1610992800000.0,11.807,Passing clouds.,48.2,29.96,92
"Tuesday, January 19, 2021, 12:00 am — 6:00 am",1611014400000.0,15.535,Passing clouds.,51.8,29.72,95
"Tuesday, January 19, 2021, 6:00 am — 12:00 pm",1611036000000.0,18.642,Partly sunny.,53.6,29.68,85
"Tuesday, January 19, 2021, 12:00 pm — 6:00 pm",1611057600000.0,17.4,Drizzle. Mostly cloudy.,51.8,29.6,85
"Tuesday, January 19, 2021, 6:00 pm — 12:00 am",1611079200000.0,18.021,Low clouds.,51.8,29.46,91
"Wednesday, January 20, 2021, 12:00 am — 6:00 am",1611100800000.0,18.642,Passing clouds.,50.0,29.32,94
"Wednesday, January 20, 2021, 6:00 am — 12:00 pm",1611122400000.0,18.021,Drizzle. Broken clouds.,51.8,29.22,93
"Wednesday, January 20, 2021, 12:00 pm — 6:00 pm",1611144000000.0,17.4,Light rain. Partly sunny.,50.0,29.08,93
"Wednesday, January 20, 2021, 6:00 pm — 12:00 am",1611165600000.0,18.642,Passing clouds.,50.0,28.85,90
"Thursday, January 21, 2021, 12:00 am — 6:00 am",1611187200000.0,19.264,Passing clouds.,41.0,29.0,84
"Thursday, January 21, 2021, 6:00 am — 12:00 pm",1611208800000.0,17.4,Scattered clouds.,46.4,29.11,74
"Thursday, January 21, 2021, 12:00 pm — 6:00 pm",1611230400000.0,9.943,Partly sunny.,46.4,29.08,70
"Thursday, January 21, 2021, 6:00 pm — 12:00 am",1611252000000.0,7.457,Overcast.,44.6,29.09,81
"Friday, January 22, 2021, 12:00 am — 6:00 am",1611273600000.0,6.836,Clear.,35.6,29.2,93
"Friday, January 22, 2021, 6:00 am — 12:00 pm",1611295200000.0,6.836,Sunny.,44.6,29.31,89
"Friday, January 22, 2021, 12:00 pm — 6:00 pm",1611316800000.0,6.836,Scattered clouds.,46.4,29.33,75
"Friday, January 22, 2021, 6:00 pm — 12:00 am",1611338400000.0,6.836,Sprinkles. Passing clouds.,39.2,29.33,93
"Saturday, January 23, 2021, 12:00 am — 6:00 am",1611360000000.0,4.35,Low clouds.,37.4,29.35,94
"Saturday, January 23, 2021, 6:00 am — 12:00 pm",1611381600000.0,2.486,Ice fog.,33.8,29.37,98
"Saturday, January 23, 2021, 12:00 pm — 6:00 pm",1611403200000.0,8.078,Scattered clouds.,39.2,29.4,85
"Saturday, January 23, 2021, 6:00 pm — 12:00 am",1611424800000.0,4.35,Clear.,33.8,29.46,92
"Sunday, January 24, 2021, 12:00 am — 6:00 am",1611446400000.0,2.486,Passing clouds.,26.6,29.49,99
"Sunday, January 24, 2021, 6:00 am — 12:00 pm",1611468000000.0,6.836,Clear.,33.8,29.42,94
"Sunday, January 24, 2021, 12:00 pm — 6:00 pm",1611489600000.0,4.35,Partly sunny.,33.8,29.37,99
"Sunday, January 24, 2021, 6:00 pm — 12:00 am",1611511200000.0,7.457,Passing clouds.,33.8,29.45,93
"Monday, January 25, 2021, 12:00 am — 6:00 am",1611532800000.0,8.7,Clear.,33.8,29.63,91
"Monday, January 25, 2021, 6:00 am — 12:00 pm",1611554400000.0,5.593,Sunny.,37.4,29.79,84
"Monday, January 25, 2021, 12:00 pm — 6:00 pm",1611576000000.0,9.943,Sunny.,41.0,29.88,74
"Monday, January 25, 2021, 6:00 pm — 12:00 am",1611597600000.0,5.593,Clear.,35.6,29.99,86
"Tuesday, January 26, 2021, 12:00 am — 6:00 am",1611619200000.0,1.864,Passing clouds.,30.2,30.04,94
"Tuesday, January 26, 2021, 6:00 am — 12:00 pm",1611640800000.0,2.486,Overcast.,39.2,30.05,96
"Tuesday, January 26, 2021, 12:00 pm — 6:00 pm",1611662400000.0,8.078,Overcast.,41.0,29.97,90
"Tuesday, January 26, 2021, 6:00 pm — 12:00 am",1611684000000.0,8.7,Drizzle. Low clouds.,42.8,29.85,98
"Wednesday, January 27, 2021, 12:00 am — 6:00 am",1611705600000.0,4.971,Mostly cloudy.,44.6,29.83,100
"Wednesday, January 27, 2021, 6:00 am — 12:00 pm",1611727200000.0,7.457,Fog.,48.2,29.87,97
"Wednesday, January 27, 2021, 12:00 pm — 6:00 pm",1611748800000.0,4.35,Overcast.,50.0,29.87,95
"Wednesday, January 27, 2021, 6:00 pm — 12:00 am",1611770400000.0,3.728,Low clouds.,48.2,29.8,100
"Thursday, January 28, 2021, 12:00 am — 6:00 am",1611792000000.0,3.728,Passing clouds.,50.0,29.59,100
"Thursday, January 28, 2021, 6:00 am — 12:00 pm",1611813600000.0,14.293,Partly sunny.,55.4,29.55,86
"Thursday, January 28, 2021, 12:00 pm — 6:00 pm",1611835200000.0,13.671,Partly sunny.,55.4,29.58,82
"Thursday, January 28, 2021, 6:00 pm — 12:00 am",1611856800000.0,7.457,Passing clouds.,51.8,29.47,96
"Friday, January 29, 2021, 12:00 am — 6:00 am",1611878400000.0,13.05,Passing clouds.,50.0,29.41,88
"Friday, January 29, 2021, 6:00 am — 12:00 pm",1611900000000.0,8.7,Broken clouds.,48.2,29.4,90
"Friday, January 29, 2021, 12:00 pm — 6:00 pm",1611921600000.0,13.05,Broken clouds.,51.8,29.52,80
"Friday, January 29, 2021, 6:00 pm — 12:00 am",1611943200000.0,7.457,Passing clouds.,48.2,29.57,90
"Saturday, January 30, 2021, 12:00 am — 6:00 am",1611964800000.0,5.593,Passing clouds.,44.6,29.47,94
"Saturday, January 30, 2021, 6:00 am — 12:00 pm",1611986400000.0,16.157,Light rain. Low clouds.,42.8,29.39,93
"Saturday, January 30, 2021, 12:00 pm — 6:00 pm",1612008000000.0,18.021,Drizzle. Low clouds.,39.2,29.42,92
"Saturday, January 30, 2021, 6:00 pm — 12:00 am",1612029600000.0,17.4,Passing clouds.,39.2,29.53,83
"Sunday, January 31, 2021, 12:00 am — 6:00 am",1612051200000.0,9.943,Passing clouds.,35.6,29.61,77
"Sunday, January 31, 2021, 6:00 am — 12:00 pm",1612072800000.0,9.321,Sunny.,39.2,29.55,77
"Sunday, January 31, 2021, 12:00 pm — 6:00 pm",1612094400000.0,11.185,Overcast.,39.2,29.38,82
"Sunday, January 31, 2021, 6:00 pm — 12:00 am",1612116000000.0,6.836,Partly cloudy.,37.4,29.24,98
"Monday, February 1, 2021, 12:00 am — 6:00 am",1612137600000.0,8.078,Low clouds.,37.4,29.27,100
"Monday, February 1, 2021, 6:00 am — 12:00 pm",1612159200000.0,6.836,Broken clouds.,39.2,29.42,92
"Monday, February 1, 2021, 12:00 pm — 6:00 pm",1612180800000.0,4.971,Overcast.,39.2,29.52,86
"Monday, February 1, 2021, 6:00 pm — 12:00 am",1612202400000.0,5.593,Low clouds.,39.2,29.55,89
"Tuesday, February 2, 2021, 12:00 am — 6:00 am",1612224000000.0,6.836,Low clouds.,42.8,29.38,100
"Tuesday, February 2, 2021, 6:00 am — 12:00 pm",1612245600000.0,6.836,Partly sunny.,53.6,29.35,96
"Tuesday, February 2, 2021, 12:00 pm — 6:00 pm",1612267200000.0,13.05,Broken clouds.,55.4,29.34,82
"Tuesday, February 2, 2021, 6:00 pm — 12:00 am",1612288800000.0,14.914,Partly cloudy.,51.8,29.33,87
"Wednesday, February 3, 2021, 12:00 am — 6:00 am",1612310400000.0,8.7,Mostly cloudy.,50.0,29.33,81
"Wednesday, February 3, 2021, 6:00 am — 12:00 pm",1612332000000.0,3.728,Partly sunny.,48.2,29.31,91
"Wednesday, February 3, 2021, 12:00 pm — 6:00 pm",1612353600000.0,12.428,Partly sunny.,51.8,29.42,74
"Wednesday, February 3, 2021, 6:00 pm — 12:00 am",1612375200000.0,6.836,Passing clouds.,46.4,29.62,83
"Thursday, February 4, 2021, 12:00 am — 6:00 am",1612396800000.0,1.864,Clear.,39.2,29.75,98
"Thursday, February 4, 2021, 6:00 am — 12:00 pm",1612418400000.0,4.971,Fog.,48.2,29.81,94
"Thursday, February 4, 2021, 12:00 pm — 6:00 pm",1612440000000.0,7.457,Sprinkles. Broken clouds.,48.2,29.75,95
"Thursday, February 4, 2021, 6:00 pm — 12:00 am",1612461600000.0,7.457,Rain showers. Partly cloudy.,48.2,29.74,97
"Friday, February 5, 2021, 12:00 am — 6:00 am",1612483200000.0,4.971,Passing clouds.,46.4,29.72,99
"Friday, February 5, 2021, 6:00 am — 12:00 pm",1612504800000.0,4.35,Broken clouds.,48.2,29.79,90
