day,month,date,year,time_range,date_id,wind,desc,temp,baro,hum,hour
Wednesday,January,13,2021,6:00 am — 12:00 pm,1610517600000.0,1.243,Drizzle. Low clouds.,5.999999999999998,30.07,99,6
Wednesday,January,13,2021,12:00 pm — 6:00 pm,1610539200000.0,6.836,Drizzle. Cloudy.,10.0,30.02,98,12
Wednesday,January,13,2021,6:00 pm — 12:00 am,1610560800000.0,8.7,Passing clouds.,10.0,30.04,98,6
Thursday,January,14,2021,12:00 am — 6:00 am,1610582400000.0,4.971,Passing clouds.,9.000000000000002,29.98,99,12
Thursday,January,14,2021,6:00 am — 12:00 pm,1610604000000.0,9.321,Light rain. Low clouds.,5.999999999999998,29.91,99,6
Thursday,January,14,2021,12:00 pm — 6:00 pm,1610625600000.0,9.321,Drizzle. Partly sunny.,5.0,30.0,97,12
Thursday,January,14,2021,6:00 pm — 12:00 am,1610647200000.0,8.7,Partly cloudy.,2.999999999999999,30.19,92,6
Friday,January,15,2021,12:00 am — 6:00 am,1610668800000.0,6.836,Passing clouds.,0.9999999999999984,30.32,96,12
Friday,January,15,2021,6:00 am — 12:00 pm,1610690400000.0,4.971,Partly sunny.,2.999999999999999,30.43,94,6
Friday,January,15,2021,12:00 pm — 6:00 pm,1610712000000.0,1.864,Partly sunny.,5.0,30.43,85,12
Friday,January,15,2021,6:00 pm — 12:00 am,1610733600000.0,1.864,Passing clouds.,0.9999999999999984,30.41,97,6
Saturday,January,16,2021,12:00 am — 6:00 am,1610755200000.0,8.7,Mostly cloudy.,2.999999999999999,30.28,84,12
Saturday,January,16,2021,6:00 am — 12:00 pm,1610776800000.0,9.943,Drizzle. More clouds than sun.,5.999999999999998,30.05,98,6
Saturday,January,16,2021,12:00 pm — 6:00 pm,1610798400000.0,6.214,Partly sunny.,9.000000000000002,29.99,93,12
Saturday,January,16,2021,6:00 pm — 12:00 am,1610820000000.0,7.457,Overcast.,7.000000000000001,30.05,86,6
Sunday,January,17,2021,12:00 am — 6:00 am,1610841600000.0,9.321,Overcast.,5.999999999999998,30.09,82,12
Sunday,January,17,2021,6:00 am — 12:00 pm,1610863200000.0,9.321,Scattered clouds.,7.000000000000001,30.21,80,6
Sunday,January,17,2021,12:00 pm — 6:00 pm,1610884800000.0,9.321,Partly sunny.,8.0,30.27,72,12
Sunday,January,17,2021,6:00 pm — 12:00 am,1610906400000.0,3.728,Overcast.,4.000000000000002,30.3,90,6
Monday,January,18,2021,12:00 am — 6:00 am,1610928000000.0,5.593,Passing clouds.,2.999999999999999,30.25,95,12
Monday,January,18,2021,6:00 am — 12:00 pm,1610949600000.0,7.457,Partly sunny.,7.000000000000001,30.2,95,6
Monday,January,18,2021,12:00 pm — 6:00 pm,1610971200000.0,9.321,Partly sunny.,7.000000000000001,30.1,82,12
Monday,January,18,2021,6:00 pm — 12:00 am,1610992800000.0,11.807,Passing clouds.,9.000000000000002,29.96,92,6
Tuesday,January,19,2021,12:00 am — 6:00 am,1611014400000.0,15.535,Passing clouds.,10.999999999999998,29.72,95,12
Tuesday,January,19,2021,6:00 am — 12:00 pm,1611036000000.0,18.642,Partly sunny.,12.0,29.68,85,6
Tuesday,January,19,2021,12:00 pm — 6:00 pm,1611057600000.0,17.4,Drizzle. Mostly cloudy.,10.999999999999998,29.6,85,12
Tuesday,January,19,2021,6:00 pm — 12:00 am,1611079200000.0,18.021,Low clouds.,10.999999999999998,29.46,91,6
Wednesday,January,20,2021,12:00 am — 6:00 am,1611100800000.0,18.642,Passing clouds.,10.0,29.32,94,12
Wednesday,January,20,2021,6:00 am — 12:00 pm,1611122400000.0,18.021,Drizzle. Broken clouds.,10.999999999999998,29.22,93,6
Wednesday,January,20,2021,12:00 pm — 6:00 pm,1611144000000.0,17.4,Light rain. Partly sunny.,10.0,29.08,93,12
Wednesday,January,20,2021,6:00 pm — 12:00 am,1611165600000.0,18.642,Passing clouds.,10.0,28.85,90,6
Thursday,January,21,2021,12:00 am — 6:00 am,1611187200000.0,19.264,Passing clouds.,5.0,29.0,84,12
Thursday,January,21,2021,6:00 am — 12:00 pm,1611208800000.0,17.4,Scattered clouds.,8.0,29.11,74,6
Thursday,January,21,2021,12:00 pm — 6:00 pm,1611230400000.0,9.943,Partly sunny.,8.0,29.08,70,12
Thursday,January,21,2021,6:00 pm — 12:00 am,1611252000000.0,7.457,Overcast.,7.000000000000001,29.09,81,6
Friday,January,22,2021,12:00 am — 6:00 am,1611273600000.0,6.836,Clear.,2.000000000000001,29.2,93,12
Friday,January,22,2021,6:00 am — 12:00 pm,1611295200000.0,6.836,Sunny.,7.000000000000001,29.31,89,6
Friday,January,22,2021,12:00 pm — 6:00 pm,1611316800000.0,6.836,Scattered clouds.,8.0,29.33,75,12
Friday,January,22,2021,6:00 pm — 12:00 am,1611338400000.0,6.836,Sprinkles. Passing clouds.,4.000000000000002,29.33,93,6
Saturday,January,23,2021,12:00 am — 6:00 am,1611360000000.0,4.35,Low clouds.,2.999999999999999,29.35,94,12
Saturday,January,23,2021,6:00 am — 12:00 pm,1611381600000.0,2.486,Ice fog.,0.9999999999999984,29.37,98,6
Saturday,January,23,2021,12:00 pm — 6:00 pm,1611403200000.0,8.078,Scattered clouds.,4.000000000000002,29.4,85,12
Saturday,January,23,2021,6:00 pm — 12:00 am,1611424800000.0,4.35,Clear.,0.9999999999999984,29.46,92,6
Sunday,January,24,2021,12:00 am — 6:00 am,1611446400000.0,2.486,Passing clouds.,-2.999999999999999,29.49,99,12
Sunday,January,24,2021,6:00 am — 12:00 pm,1611468000000.0,6.836,Clear.,0.9999999999999984,29.42,94,6
Sunday,January,24,2021,12:00 pm — 6:00 pm,1611489600000.0,4.35,Partly sunny.,0.9999999999999984,29.37,99,12
Sunday,January,24,2021,6:00 pm — 12:00 am,1611511200000.0,7.457,Passing clouds.,0.9999999999999984,29.45,93,6
Monday,January,25,2021,12:00 am — 6:00 am,1611532800000.0,8.7,Clear.,0.9999999999999984,29.63,91,12
Monday,January,25,2021,6:00 am — 12:00 pm,1611554400000.0,5.593,Sunny.,2.999999999999999,29.79,84,6
Monday,January,25,2021,12:00 pm — 6:00 pm,1611576000000.0,9.943,Sunny.,5.0,29.88,74,12
Monday,January,25,2021,6:00 pm — 12:00 am,1611597600000.0,5.593,Clear.,2.000000000000001,29.99,86,6
Tuesday,January,26,2021,12:00 am — 6:00 am,1611619200000.0,1.864,Passing clouds.,-1.0000000000000004,30.04,94,12
Tuesday,January,26,2021,6:00 am — 12:00 pm,1611640800000.0,2.486,Overcast.,4.000000000000002,30.05,96,6
Tuesday,January,26,2021,12:00 pm — 6:00 pm,1611662400000.0,8.078,Overcast.,5.0,29.97,90,12
Tuesday,January,26,2021,6:00 pm — 12:00 am,1611684000000.0,8.7,Drizzle. Low clouds.,5.999999999999998,29.85,98,6
Wednesday,January,27,2021,12:00 am — 6:00 am,1611705600000.0,4.971,Mostly cloudy.,7.000000000000001,29.83,100,12
Wednesday,January,27,2021,6:00 am — 12:00 pm,1611727200000.0,7.457,Fog.,9.000000000000002,29.87,97,6
Wednesday,January,27,2021,12:00 pm — 6:00 pm,1611748800000.0,4.35,Overcast.,10.0,29.87,95,12
Wednesday,January,27,2021,6:00 pm — 12:00 am,1611770400000.0,3.728,Low clouds.,9.000000000000002,29.8,100,6
Thursday,January,28,2021,12:00 am — 6:00 am,1611792000000.0,3.728,Passing clouds.,10.0,29.59,100,12
Thursday,January,28,2021,6:00 am — 12:00 pm,1611813600000.0,14.293,Partly sunny.,13.0,29.55,86,6
Thursday,January,28,2021,12:00 pm — 6:00 pm,1611835200000.0,13.671,Partly sunny.,13.0,29.58,82,12
Thursday,January,28,2021,6:00 pm — 12:00 am,1611856800000.0,7.457,Passing clouds.,10.999999999999998,29.47,96,6
Friday,January,29,2021,12:00 am — 6:00 am,1611878400000.0,13.05,Passing clouds.,10.0,29.41,88,12
Friday,January,29,2021,6:00 am — 12:00 pm,1611900000000.0,8.7,Broken clouds.,9.000000000000002,29.4,90,6
Friday,January,29,2021,12:00 pm — 6:00 pm,1611921600000.0,13.05,Broken clouds.,10.999999999999998,29.52,80,12
Friday,January,29,2021,6:00 pm — 12:00 am,1611943200000.0,7.457,Passing clouds.,9.000000000000002,29.57,90,6
Saturday,January,30,2021,12:00 am — 6:00 am,1611964800000.0,5.593,Passing clouds.,7.000000000000001,29.47,94,12
Saturday,January,30,2021,6:00 am — 12:00 pm,1611986400000.0,16.157,Light rain. Low clouds.,5.999999999999998,29.39,93,6
Saturday,January,30,2021,12:00 pm — 6:00 pm,1612008000000.0,18.021,Drizzle. Low clouds.,4.000000000000002,29.42,92,12
Saturday,January,30,2021,6:00 pm — 12:00 am,1612029600000.0,17.4,Passing clouds.,4.000000000000002,29.53,83,6
Sunday,January,31,2021,12:00 am — 6:00 am,1612051200000.0,9.943,Passing clouds.,2.000000000000001,29.61,77,12
Sunday,January,31,2021,6:00 am — 12:00 pm,1612072800000.0,9.321,Sunny.,4.000000000000002,29.55,77,6
Sunday,January,31,2021,12:00 pm — 6:00 pm,1612094400000.0,11.185,Overcast.,4.000000000000002,29.38,82,12
Sunday,January,31,2021,6:00 pm — 12:00 am,1612116000000.0,6.836,Partly cloudy.,2.999999999999999,29.24,98,6
Monday,February,1,2021,12:00 am — 6:00 am,1612137600000.0,8.078,Low clouds.,2.999999999999999,29.27,100,12
Monday,February,1,2021,6:00 am — 12:00 pm,1612159200000.0,6.836,Broken clouds.,4.000000000000002,29.42,92,6
Monday,February,1,2021,12:00 pm — 6:00 pm,1612180800000.0,4.971,Overcast.,4.000000000000002,29.52,86,12
Monday,February,1,2021,6:00 pm — 12:00 am,1612202400000.0,5.593,Low clouds.,4.000000000000002,29.55,89,6
Tuesday,February,2,2021,12:00 am — 6:00 am,1612224000000.0,6.836,Low clouds.,5.999999999999998,29.38,100,12
Tuesday,February,2,2021,6:00 am — 12:00 pm,1612245600000.0,6.836,Partly sunny.,12.0,29.35,96,6
Tuesday,February,2,2021,12:00 pm — 6:00 pm,1612267200000.0,13.05,Broken clouds.,13.0,29.34,82,12
Tuesday,February,2,2021,6:00 pm — 12:00 am,1612288800000.0,14.914,Partly cloudy.,10.999999999999998,29.33,87,6
Wednesday,February,3,2021,12:00 am — 6:00 am,1612310400000.0,8.7,Mostly cloudy.,10.0,29.33,81,12
Wednesday,February,3,2021,6:00 am — 12:00 pm,1612332000000.0,3.728,Partly sunny.,9.000000000000002,29.31,91,6
Wednesday,February,3,2021,12:00 pm — 6:00 pm,1612353600000.0,12.428,Partly sunny.,10.999999999999998,29.42,74,12
Wednesday,February,3,2021,6:00 pm — 12:00 am,1612375200000.0,6.836,Passing clouds.,8.0,29.62,83,6
Thursday,February,4,2021,12:00 am — 6:00 am,1612396800000.0,1.864,Clear.,4.000000000000002,29.75,98,12
Thursday,February,4,2021,6:00 am — 12:00 pm,1612418400000.0,4.971,Fog.,9.000000000000002,29.81,94,6
Thursday,February,4,2021,12:00 pm — 6:00 pm,1612440000000.0,7.457,Sprinkles. Broken clouds.,9.000000000000002,29.75,95,12
Thursday,February,4,2021,6:00 pm — 12:00 am,1612461600000.0,7.457,Rain showers. Partly cloudy.,9.000000000000002,29.74,97,6
Friday,February,5,2021,12:00 am — 6:00 am,1612483200000.0,4.971,Passing clouds.,8.0,29.72,99,12
Friday,February,5,2021,6:00 am — 12:00 pm,1612504800000.0,4.35,Broken clouds.,9.000000000000002,29.79,90,6
Friday,February,5,2021,12:00 pm — 6:00 pm,1612526400000.0,6.214,Sprinkles. Broken clouds.,10.999999999999998,29.77,84,12
Friday,February,5,2021,6:00 pm — 12:00 am,1612548000000.0,5.593,Passing clouds.,7.000000000000001,29.77,94,6
Saturday,February,6,2021,12:00 am — 6:00 am,1612569600000.0,2.486,Passing clouds.,5.999999999999998,29.76,96,12
Saturday,February,6,2021,6:00 am — 12:00 pm,1612591200000.0,4.35,Broken clouds.,7.000000000000001,29.75,95,6
Saturday,February,6,2021,12:00 pm — 6:00 pm,1612612800000.0,8.078,Broken clouds.,8.0,29.69,83,12
Saturday,February,6,2021,6:00 pm — 12:00 am,1612634400000.0,11.185,Partly cloudy.,7.000000000000001,29.65,95,6
Sunday,February,7,2021,12:00 am — 6:00 am,1612656000000.0,16.778,Overcast.,4.000000000000002,29.65,89,12
Sunday,February,7,2021,6:00 am — 12:00 pm,1612677600000.0,16.778,Light snow. Partly sunny.,2.999999999999999,29.68,83,6
Sunday,February,7,2021,12:00 pm — 6:00 pm,1612699200000.0,19.264,Partly sunny.,2.000000000000001,29.64,75,12
Sunday,February,7,2021,6:00 pm — 12:00 am,1612720800000.0,17.4,Passing clouds.,0.9999999999999984,29.62,78,6
Monday,February,8,2021,12:00 am — 6:00 am,1612742400000.0,16.778,Passing clouds.,-1.0000000000000004,29.6,81,12
Monday,February,8,2021,6:00 am — 12:00 pm,1612764000000.0,14.914,Light snow. Partly sunny.,-1.0000000000000004,29.62,79,6
Monday,February,8,2021,12:00 pm — 6:00 pm,1612785600000.0,13.05,Light snow. Passing clouds.,-1.0000000000000004,29.63,82,12
Monday,February,8,2021,6:00 pm — 12:00 am,1612807200000.0,11.807,Partly cloudy.,-1.0000000000000004,29.68,83,6
Tuesday,February,9,2021,12:00 am — 6:00 am,1612828800000.0,8.7,Passing clouds.,-1.0000000000000004,29.71,82,12
Tuesday,February,9,2021,6:00 am — 12:00 pm,1612850400000.0,12.428,Light snow. Broken clouds.,0.0,29.73,81,6
Tuesday,February,9,2021,12:00 pm — 6:00 pm,1612872000000.0,12.428,Snow flurries. Broken clouds.,0.0,29.72,82,12
Tuesday,February,9,2021,6:00 pm — 12:00 am,1612893600000.0,14.914,Passing clouds.,0.0,29.75,77,6
Wednesday,February,10,2021,12:00 am — 6:00 am,1612915200000.0,11.807,Overcast.,0.0,29.8,76,12
Wednesday,February,10,2021,6:00 am — 12:00 pm,1612936800000.0,11.185,Sunny.,2.000000000000001,29.95,75,6
Wednesday,February,10,2021,12:00 pm — 6:00 pm,1612958400000.0,11.185,Passing clouds.,2.000000000000001,30.07,62,12
Wednesday,February,10,2021,6:00 pm — 12:00 am,1612980000000.0,6.214,Passing clouds.,0.0,30.18,83,6
Thursday,February,11,2021,12:00 am — 6:00 am,1613001600000.0,4.971,Passing clouds.,-2.000000000000001,30.27,93,12
Thursday,February,11,2021,6:00 am — 12:00 pm,1613023200000.0,10.564,Partly sunny.,0.9999999999999984,30.32,81,6
Thursday,February,11,2021,12:00 pm — 6:00 pm,1613044800000.0,13.05,Partly sunny.,2.000000000000001,30.32,60,12
Thursday,February,11,2021,6:00 pm — 12:00 am,1613066400000.0,14.293,Clear.,0.0,30.33,65,6
Friday,February,12,2021,12:00 am — 6:00 am,1613088000000.0,16.157,Overcast.,-1.0000000000000004,30.35,67,12
Friday,February,12,2021,6:00 am — 12:00 pm,1613109600000.0,17.4,Sunny.,0.9999999999999984,30.4,61,6
Friday,February,12,2021,12:00 pm — 6:00 pm,1613131200000.0,19.264,Partly sunny.,2.000000000000001,30.44,56,12
Friday,February,12,2021,6:00 pm — 12:00 am,1613152800000.0,16.778,Overcast.,-1.0000000000000004,30.47,63,6
Saturday,February,13,2021,12:00 am — 6:00 am,1613174400000.0,13.05,Clear.,-2.000000000000001,30.48,71,12
Saturday,February,13,2021,6:00 am — 12:00 pm,1613196000000.0,14.914,Sunny.,0.0,30.5,62,6
Saturday,February,13,2021,12:00 pm — 6:00 pm,1613217600000.0,14.914,Sunny.,2.000000000000001,30.45,46,12
Saturday,February,13,2021,6:00 pm — 12:00 am,1613239200000.0,13.05,Overcast.,2.000000000000001,30.44,52,6
Sunday,February,14,2021,12:00 am — 6:00 am,1613260800000.0,12.428,Passing clouds.,2.000000000000001,30.38,58,12
Sunday,February,14,2021,6:00 am — 12:00 pm,1613282400000.0,14.293,More clouds than sun.,2.999999999999999,30.31,58,6
Sunday,February,14,2021,12:00 pm — 6:00 pm,1613304000000.0,11.807,More clouds than sun.,4.000000000000002,30.21,64,12
Sunday,February,14,2021,6:00 pm — 12:00 am,1613325600000.0,11.185,Passing clouds.,4.000000000000002,30.14,80,6
Monday,February,15,2021,12:00 am — 6:00 am,1613347200000.0,4.971,Low clouds.,5.999999999999998,30.06,94,12
Monday,February,15,2021,6:00 am — 12:00 pm,1613368800000.0,6.836,Drizzle. Partly sunny.,10.0,30.04,99,6
Monday,February,15,2021,12:00 pm — 6:00 pm,1613390400000.0,9.943,Partly sunny.,13.0,30.07,78,12
Monday,February,15,2021,6:00 pm — 12:00 am,1613412000000.0,7.457,Passing clouds.,10.0,30.03,90,6
Tuesday,February,16,2021,12:00 am — 6:00 am,1613433600000.0,11.185,Passing clouds.,10.0,29.88,87,12
Tuesday,February,16,2021,6:00 am — 12:00 pm,1613455200000.0,10.564,Light rain. Partly sunny.,10.0,29.78,92,6
Tuesday,February,16,2021,12:00 pm — 6:00 pm,1613476800000.0,9.943,Broken clouds.,10.999999999999998,29.74,89,12
Tuesday,February,16,2021,6:00 pm — 12:00 am,1613498400000.0,9.321,Passing clouds.,9.000000000000002,29.8,90,6
Wednesday,February,17,2021,12:00 am — 6:00 am,1613520000000.0,9.321,Passing clouds.,9.000000000000002,29.82,92,12
Wednesday,February,17,2021,6:00 am — 12:00 pm,1613541600000.0,13.671,Light rain. Partly sunny.,10.0,29.8,95,6
Wednesday,February,17,2021,12:00 pm — 6:00 pm,1613563200000.0,14.293,Drizzle. Partly sunny.,10.999999999999998,29.8,93,12
Wednesday,February,17,2021,6:00 pm — 12:00 am,1613584800000.0,14.293,Passing clouds.,10.999999999999998,29.76,85,6
Thursday,February,18,2021,12:00 am — 6:00 am,1613606400000.0,13.05,Passing clouds.,9.000000000000002,29.62,82,12
Thursday,February,18,2021,6:00 am — 12:00 pm,1613628000000.0,13.671,Broken clouds.,10.999999999999998,29.49,83,6
Thursday,February,18,2021,12:00 pm — 6:00 pm,1613649600000.0,15.535,Passing clouds.,10.0,29.61,65,12
Thursday,February,18,2021,6:00 pm — 12:00 am,1613671200000.0,8.078,Clear.,5.999999999999998,29.76,80,6
Friday,February,19,2021,12:00 am — 6:00 am,1613692800000.0,6.836,Passing clouds.,5.999999999999998,29.79,91,12
Friday,February,19,2021,6:00 am — 12:00 pm,1613714400000.0,13.671,Broken clouds.,10.0,29.77,81,6
Friday,February,19,2021,12:00 pm — 6:00 pm,1613736000000.0,15.535,Partly sunny.,10.0,29.73,83,12
Friday,February,19,2021,6:00 pm — 12:00 am,1613757600000.0,13.05,Passing clouds.,12.0,29.68,80,6
Saturday,February,20,2021,12:00 am — 6:00 am,1613779200000.0,10.564,Passing clouds.,13.0,29.65,75,12
Saturday,February,20,2021,6:00 am — 12:00 pm,1613800800000.0,13.671,Sunny.,14.000000000000002,29.61,73,6
Saturday,February,20,2021,12:00 pm — 6:00 pm,1613822400000.0,12.428,Sunny.,14.000000000000002,29.56,62,12
Saturday,February,20,2021,6:00 pm — 12:00 am,1613844000000.0,11.807,Passing clouds.,14.000000000000002,29.6,63,6
Sunday,February,21,2021,12:00 am — 6:00 am,1613865600000.0,8.7,Overcast.,13.0,29.7,84,12
Sunday,February,21,2021,6:00 am — 12:00 pm,1613887200000.0,5.593,Partly sunny.,13.0,29.77,90,6
Sunday,February,21,2021,12:00 pm — 6:00 pm,1613908800000.0,6.214,Partly sunny.,14.000000000000002,29.78,74,12
Sunday,February,21,2021,6:00 pm — 12:00 am,1613930400000.0,3.728,Overcast.,10.999999999999998,29.8,83,6
Monday,February,22,2021,12:00 am — 6:00 am,1613952000000.0,2.486,Passing clouds.,7.000000000000001,29.82,92,12
Monday,February,22,2021,6:00 am — 12:00 pm,1613973600000.0,3.107,Sunny.,10.0,29.91,90,6
Monday,February,22,2021,12:00 pm — 6:00 pm,1613995200000.0,1.864,Light rain. Low clouds.,10.0,30.01,95,12
Monday,February,22,2021,6:00 pm — 12:00 am,1614016800000.0,3.107,Passing clouds.,10.0,30.13,96,6
Tuesday,February,23,2021,12:00 am — 6:00 am,1614038400000.0,5.593,Mostly cloudy.,7.000000000000001,30.18,99,12
Tuesday,February,23,2021,6:00 am — 12:00 pm,1614060000000.0,12.428,Sunny.,13.0,30.19,82,6
Tuesday,February,23,2021,12:00 pm — 6:00 pm,1614081600000.0,17.4,Sunny.,15.0,30.17,56,12
Tuesday,February,23,2021,6:00 pm — 12:00 am,1614103200000.0,14.914,Overcast.,13.0,30.19,65,6
Wednesday,February,24,2021,12:00 am — 6:00 am,1614124800000.0,14.293,Passing clouds.,12.0,30.18,74,12
Wednesday,February,24,2021,6:00 am — 12:00 pm,1614146400000.0,13.671,Sunny.,15.0,30.18,68,6
Wednesday,February,24,2021,12:00 pm — 6:00 pm,1614168000000.0,14.293,Partly sunny.,16.0,30.15,69,12
Wednesday,February,24,2021,6:00 pm — 12:00 am,1614189600000.0,10.564,Passing clouds.,13.0,30.15,72,6
Thursday,February,25,2021,12:00 am — 6:00 am,1614211200000.0,11.807,Passing clouds.,13.0,30.16,80,12
Thursday,February,25,2021,6:00 am — 12:00 pm,1614232800000.0,6.836,More clouds than sun.,10.999999999999998,30.28,85,6
Thursday,February,25,2021,12:00 pm — 6:00 pm,1614254400000.0,8.078,Partly sunny.,12.0,30.35,60,12
Thursday,February,25,2021,6:00 pm — 12:00 am,1614276000000.0,4.35,Clear.,10.0,30.47,80,6
Friday,February,26,2021,12:00 am — 6:00 am,1614297600000.0,1.864,Clear.,2.000000000000001,30.56,93,12
Friday,February,26,2021,6:00 am — 12:00 pm,1614319200000.0,1.864,Sunny.,10.999999999999998,30.63,81,6
Friday,February,26,2021,12:00 pm — 6:00 pm,1614340800000.0,6.836,Passing clouds.,12.0,30.63,50,12
Friday,February,26,2021,6:00 pm — 12:00 am,1614362400000.0,1.864,Clear.,8.0,30.68,79,6
